date,close,pct_change,main_net_inflow,main_net_inflow_pct,super_large_net,super_large_pct,large_net,large_pct,medium_net,medium_pct,small_net,small_pct,stock_code
2026-01-28,19.63,-0.81,213871024.0,6.78,-9941328.0,-0.32,223812352.0,7.09,6768048.0,0.21,-220639072.0,-6.99,601211
2026-01-29,19.8,0.87,8442128.0,0.24,-79043344.0,-2.22,87485472.0,2.46,40121760.0,1.13,-48563904.0,-1.36,601211
2026-01-30,19.83,0.15,-326402400.0,-11.67,-341320560.0,-12.21,14918160.0,0.53,220484544.0,7.89,105917856.0,3.79,601211
2026-02-02,19.67,-0.81,109222816.0,4.34,90640800.0,3.6,18582016.0,0.74,-1302992.0,-0.05,-107919824.0,-4.29,601211
2026-02-03,19.5,-0.86,-148594720.0,-6.34,-182451680.0,-7.79,33856960.0,1.44,103823984.0,4.43,44770752.0,1.91,601211
2026-02-04,19.99,2.51,35868688.0,1.4,25253808.0,0.99,10614880.0,0.42,-10657968.0,-0.42,-25210720.0,-0.99,601211
2026-02-05,20.15,0.8,105813424.0,5.67,112862272.0,6.05,-7048848.0,-0.38,-26577920.0,-1.42,-79235488.0,-4.25,601211
2026-02-06,19.97,-0.89,-55039114.0,-3.82,-4590442.0,-0.32,-50448672.0,-3.5,-101610736.0,-7.05,156649856.0,10.87,601211
2026-02-09,20.19,1.1,-42647061.0,-3.32,-85876133.0,-6.69,43229072.0,3.37,281104.0,0.02,42365958.0,3.3,601211
2026-02-10,20.14,-0.25,-39094377.0,-4.34,-34278634.0,-3.81,-4815743.0,-0.53,-37333793.0,-4.14,76428167.0,8.48,601211
2026-02-11,20.01,-0.65,-62556791.0,-4.69,-14906567.0,-1.12,-47650224.0,-3.58,17292432.0,1.3,45264352.0,3.4,601211
2026-02-12,19.91,-0.5,55308701.0,5.31,63405178.0,6.09,-8096477.0,-0.78,-38395264.0,-3.69,-16913441.0,-1.62,601211
2026-02-13,19.61,-1.51,-133207300.0,-8.86,-163087108.0,-10.85,29879808.0,1.99,13578400.0,0.9,119628912.0,7.96,601211
2025-08-20,21.68,1.45,10847031.0,1.33,-984268.0,-0.12,11831299.0,1.45,44986672.0,5.53,-55833697.0,-6.86,601225
2025-08-21,21.92,1.11,5536161.0,0.53,-18319551.0,-1.77,23855712.0,2.3,29984624.0,2.89,-35520800.0,-3.43,601225
2025-08-22,21.95,0.14,-72140953.0,-7.89,-35686695.0,-3.9,-36454258.0,-3.99,-16629824.0,-1.82,88770774.0,9.71,601225
2025-08-25,22.05,0.46,-51154145.0,-5.46,-52321483.0,-5.58,1167338.0,0.12,1997936.0,0.21,49156208.0,5.25,601225
2025-08-26,21.83,-1.0,-130310650.0,-12.84,-44528584.0,-4.39,-85782066.0,-8.45,36124768.0,3.56,94185881.0,9.28,601225
2025-08-27,21.35,-2.2,-103107441.0,-11.75,-73828694.0,-8.41,-29278747.0,-3.34,-7868048.0,-0.9,110975497.0,12.65,601225
2025-08-28,20.29,-4.96,-8119783.0,-0.4,41582057.0,2.03,-49701840.0,-2.43,-41610560.0,-2.03,49730336.0,2.43,601225
2025-08-29,20.34,0.25,-86454232.0,-8.39,7163526.0,0.7,-93617758.0,-9.09,-44006608.0,-4.27,130460844.0,12.67,601225
2025-09-01,20.29,-0.25,-76042772.0,-7.56,-69397705.0,-6.9,-6645067.0,-0.66,45801952.0,4.55,30240816.0,3.01,601225
2025-09-02,20.1,-0.94,-8816695.0,-1.28,4328819.0,0.63,-13145514.0,-1.9,12216214.0,1.77,-3399519.0,-0.49,601225
2025-09-03,19.88,-1.09,27506189.0,3.93,1123976.0,0.16,26382213.0,3.77,1028591.0,0.15,-28534781.0,-4.08,601225
2025-09-04,20.12,1.21,-21576627.0,-2.08,16072639.0,1.55,-37649266.0,-3.63,66103664.0,6.38,-44527056.0,-4.3,601225
2025-09-05,20.26,0.7,168612219.0,16.44,83347145.0,8.13,85265074.0,8.31,71466014.0,6.97,-240078240.0,-23.41,601225
2025-09-08,20.21,-0.25,52256299.0,6.26,-7696521.0,-0.92,59952820.0,7.19,61048993.0,7.32,-113305293.0,-13.58,601225
2025-09-09,20.24,0.15,22263735.0,3.45,-9003651.0,-1.39,31267386.0,4.84,-2496064.0,-0.39,-19767670.0,-3.06,601225
2025-09-10,19.99,-1.24,-24814387.0,-4.09,7685694.0,1.27,-32500081.0,-5.36,9480014.0,1.56,15334372.0,2.53,601225
2025-09-11,20.15,0.8,7515510.0,1.16,-4832858.0,-0.74,12348368.0,1.9,-16975450.0,-2.61,9459939.0,1.46,601225
2025-09-12,20.19,0.2,52842397.0,6.51,-11981739.0,-1.48,64824136.0,7.98,-12018944.0,-1.48,-40823448.0,-5.03,601225
2025-09-15,20.35,0.79,72484760.0,7.68,83127571.0,8.81,-10642811.0,-1.13,-15692800.0,-1.66,-56791957.0,-6.02,601225
2025-09-16,20.23,-0.59,-1379260.0,-0.2,-30658422.0,-4.34,29279162.0,4.14,37285331.0,5.28,-35906070.0,-5.08,601225
2025-09-17,20.77,2.67,69468822.0,5.38,37037798.0,2.87,32431024.0,2.51,-73799968.0,-5.72,4331152.0,0.34,601225
2025-09-18,20.15,-2.99,36782608.0,3.28,25735815.0,2.3,11046793.0,0.99,-56466864.0,-5.04,19684240.0,1.76,601225
2025-09-19,20.68,2.63,90813636.0,7.3,35044007.0,2.82,55769629.0,4.48,-163056720.0,-13.1,72243088.0,5.8,601225
2025-09-22,20.43,-1.21,-9051110.0,-1.03,-18195297.0,-2.07,9144187.0,1.04,-42864832.0,-4.87,51915959.0,5.9,601225
2025-09-23,20.62,0.93,53934490.0,4.93,58314651.0,5.33,-4380161.0,-0.4,-132633504.0,-12.12,78699008.0,7.19,601225
2025-09-24,20.51,-0.53,24510287.0,3.62,9692964.0,1.43,14817323.0,2.19,-40356025.0,-5.96,15845738.0,2.34,601225
2025-09-25,20.42,-0.44,-12098401.0,-2.13,-50794695.0,-8.94,38696294.0,6.81,-11437521.0,-2.01,23535921.0,4.14,601225
2025-09-26,20.32,-0.49,99333246.0,9.08,56944050.0,5.21,42389196.0,3.88,-17356864.0,-1.59,-81976384.0,-7.49,601225
2025-09-29,20.06,-1.28,-29921851.0,-2.84,-33917614.0,-3.22,3995763.0,0.38,-84363184.0,-8.01,114285035.0,10.86,601225
2025-09-30,20.0,-0.3,47943115.0,8.57,41032994.0,7.33,6910121.0,1.23,-90759230.0,-16.22,42816114.0,7.65,601225
2025-10-09,20.42,2.1,-95230644.0,-8.78,-43651428.0,-4.03,-51579216.0,-4.76,12065760.0,1.11,83164891.0,7.67,601225
2025-10-10,20.67,1.22,34462627.0,2.87,1503443.0,0.13,32959184.0,2.75,-6043328.0,-0.5,-28419312.0,-2.37,601225
2025-10-13,20.56,-0.53,127022610.0,11.78,86767577.0,8.04,40255033.0,3.73,-62262208.0,-5.77,-64760403.0,-6.0,601225
2025-10-14,21.33,3.75,-63777872.0,-2.91,-107219984.0,-4.89,43442112.0,1.98,169413024.0,7.72,-105635168.0,-4.82,601225
2025-10-15,21.83,2.34,76616097.0,5.79,71090929.0,5.37,5525168.0,0.42,-6737456.0,-0.51,-69878640.0,-5.28,601225
2025-10-16,22.54,3.25,-101821146.0,-5.99,9953366.0,0.59,-111774512.0,-6.57,142223504.0,8.36,-40402336.0,-2.38,601225
