stock_code,report_date,bps,roe,name
2531,2022-06-30,4.378259939317,3.24,天顺风能
2534,2022-06-30,4.683554036743,2.7,西子洁能
2536,2022-06-30,4.471613337767,1.05,飞龙股份
2537,2022-06-30,3.738417835855,1.97,海联金汇
2539,2022-06-30,5.097578521404,20.25,云图控股
2541,2022-06-30,10.605607135097,6.7,鸿路钢构
2543,2022-06-30,5.631973812722,10.13,万和电气
2544,2022-06-30,5.302180548608,1.94,普天科技
2545,2022-06-30,6.507353939056,5.93,东方铁塔
2550,2022-06-30,1.703249144835,9.16,千红制药
2557,2022-06-30,8.995750933725,7.42,洽洽食品
2563,2022-06-30,3.871705731541,0.91,森马服饰
2572,2022-06-30,6.023549642114,7.16,索菲亚
2588,2022-06-30,4.612573006879,7.15,史丹利
2597,2022-06-30,10.799940782049,14.01,金禾实业
2605,2022-06-30,6.26658538669,7.47,姚记科技
2611,2022-06-30,2.735253549071,4.08,东方精工
2612,2022-06-30,6.637894821728,0.49,朗姿股份
2617,2022-06-30,3.198308783689,-0.92,露笑科技
2626,2022-06-30,6.446772678593,6.68,金达威
2635,2022-06-30,8.484616956479,2.37,安洁科技
2643,2022-06-30,6.404509429507,8.46,万润股份
2649,2022-06-30,6.22954175258,4.09,博彦科技
2651,2022-06-30,2.375083392468,4.22,利君股份
2654,2022-06-30,1.896847931081,-2.56,万润科技
2668,2022-06-30,0.537947115442,30.3,TCL智家
2675,2022-06-30,5.534880629133,3.72,东诚药业
2681,2022-06-30,1.269645988259,3.03,奋达科技
2690,2022-06-30,2.571628762547,12.62,美亚光电
2697,2022-06-30,2.858616853544,5.88,红旗连锁
2698,2022-06-30,2.866489955386,8.69,博实股份
2701,2022-06-30,3.131886697224,4.47,奥瑞金
2705,2022-06-30,7.752490922635,7.69,新宝股份
2706,2022-06-30,2.415082663929,8.31,良信股份
2716,2022-06-30,0.89531274736,-1.52,湖南白银
2727,2022-06-30,11.482076699213,6.22,一心堂
2737,2022-06-30,6.351803880771,10.43,葵花药业
2745,2022-06-30,9.017862083408,1.52,木林森
2747,2022-06-30,3.02078510269,2.92,埃斯顿
2755,2022-06-30,3.456853025798,0.39,奥赛康
2761,2022-06-30,5.644205949616,10.36,浙江建投
2777,2022-06-30,3.526840699898,5.62,久远银海
2779,2022-06-30,4.886290452652,2.74,中坚科技
2791,2022-06-30,14.421519195963,-1.78,坚朗五金
2807,2022-06-30,5.89797601158,4.34,江阴银行
2815,2022-06-30,5.137130155771,6.73,崇达技术
2832,2022-06-30,6.404308409548,8.42,比音勒芬
2839,2022-06-30,5.728642222448,5.2,张家港行
2840,2022-06-30,3.410677820956,-3.91,华统股份
2847,2022-06-30,7.276719590909,13.86,盐津铺子
2859,2022-06-30,5.182787521454,4.89,洁美科技
2867,2022-06-30,5.261656918844,9.83,周大生
2881,2022-06-30,3.16664729499,10.91,美格智能
2882,2022-06-30,4.39824812444,6.26,金龙羽
2891,2022-06-30,6.374920533047,3.69,中宠股份
2892,2022-06-30,3.993076505456,5.01,科力尔
2895,2022-06-30,7.509429880658,9.72,川恒股份
2896,2022-06-30,5.490850013507,3.99,中大力德
2897,2022-06-30,9.386173854294,12.24,意华股份
2901,2022-06-30,7.211996543269,6.07,大博医疗
2906,2022-06-30,8.330202795836,4.13,华阳集团
2911,2022-06-30,3.719627554666,5.92,佛燃能源
2913,2022-06-30,11.077009274137,7.71,奥士康
2925,2022-06-30,6.350013817508,6.22,盈趣科技
2928,2022-06-30,2.628272299604,-30.34,华夏航空
2929,2022-06-30,17.279202223703,6.01,润建股份
2936,2022-06-30,5.151531938998,6.135,郑州银行
2941,2022-06-30,4.136152196686,4.11,新疆交建
2946,2022-06-30,2.929168025542,7.06,新乳业
2947,2022-06-30,7.589502025752,4.65,恒铭达
2948,2022-06-30,5.144697015904,7.015,青岛银行
2960,2022-06-30,7.52027361881,6.57,青鸟消防
2965,2022-06-30,11.953876789141,3.97,祥鑫科技
2967,2022-06-30,5.792010525601,0.56,广电计量
2978,2022-06-30,13.122821599925,12.78,安宁股份
2979,2022-06-30,3.654533460511,5.52,雷赛智能
2985,2022-06-30,8.588111102818,8.25,北摩高科
2987,2022-06-30,6.513305928578,5.2,京北方
2993,2022-06-30,11.505201500936,9.39,奥海科技
3006,2022-06-30,2.719559903172,6.53,百亚股份
3012,2022-06-30,5.986773475622,1.62,东鹏控股
3039,2022-06-30,3.671360804165,4.67,顺控发展
300007,2022-06-30,7.908678356361,5.78,汉威科技
300008,2022-06-30,0.998350043465,2.35,天海防务
300009,2022-06-30,1.742427556668,11.9,安科生物
300026,2022-06-30,2.666664783594,4.45,红日药业
300027,2022-06-30,0.7909853452,-8.63,华谊兄弟
300031,2022-06-30,9.451632498082,1.32,宝通科技
300034,2022-06-30,6.130875916338,4.28,钢研高纳
300035,2022-06-30,6.619014846019,7.14,中科电气
300036,2022-06-30,6.298145061499,-1.58,超图软件
300045,2022-06-30,2.440977373428,-0.52,华力创通
300047,2022-06-30,5.217267196424,0.93,天源迪科
300049,2022-06-30,5.752053836279,2.11,福瑞医科
300065,2022-06-30,2.981053665029,0.4,海兰信
300068,2022-06-30,6.092103722041,10.62,南都电源
300075,2022-06-30,7.28710125104,3.25,数字政通
300077,2022-06-30,2.917417991179,1.82,国民技术
300079,2022-06-30,2.855379703223,1.69,数码视讯
300080,2022-06-30,2.354781854133,1.43,易成新能
300083,2022-06-30,2.14023538056,8.55,创世纪
300085,2022-06-30,1.236013927435,-5.23,银之杰
300087,2022-06-30,2.023627484268,2.21,荃银高科
300088,2022-06-30,3.221064428584,4.64,长信科技
300098,2022-06-30,1.902057781874,-1.96,高新兴
300101,2022-06-30,2.429291034182,12.35,振芯科技
300102,2022-06-30,4.57492395646,0.42,乾照光电
300113,2022-06-30,3.465256349245,1.92,顺网科技
300119,2022-06-30,8.575620407913,3.41,瑞普生物
300127,2022-06-30,4.0791494343,6.29,银河磁体
300130,2022-06-30,5.714277815099,7.26,新国都
300131,2022-06-30,1.468099747224,2.41,英唐智控
300133,2022-06-30,3.514148258537,3.62,华策影视
300134,2022-06-30,5.828399615412,0.16,大富科技
300151,2022-06-30,2.117517135724,5.95,昌红科技
300166,2022-06-30,6.009084678982,0.86,东方国信
300170,2022-06-30,4.100061649252,11.03,汉得信息
300171,2022-06-30,7.254875160682,8.9,东富龙
300180,2022-06-30,2.929908097506,0.35,华峰超纤
300181,2022-06-30,2.728563939966,7.14,佐力药业
300182,2022-06-30,2.72809522099,5.81,捷成股份
300183,2022-06-30,6.554346271332,1.64,东软载波
300184,2022-06-30,2.997115741168,5.07,力源信息
300185,2022-06-30,1.669960085563,1.69,通裕重工
300188,2022-06-30,4.013825524659,-3.31,国投智能
300199,2022-06-30,1.66751939018,-6.29,翰宇药业
300224,2022-06-30,3.676579639512,7.11,正海磁材
300226,2022-06-30,6.180170709354,5.73,上海钢联
300229,2022-06-30,3.35687355826,2.88,拓尔思
300232,2022-06-30,4.306191565683,2.6,洲明科技
300236,2022-06-30,15.102722696097,0.2,上海新阳
300244,2022-06-30,12.415168505375,27.65,迪安诊断
300253,2022-06-30,2.282084089399,1.31,卫宁健康
300257,2022-06-30,5.421884101985,4.48,开山股份
300260,2022-06-30,6.204391475165,11.68,新莱应材
300276,2022-06-30,1.739077714089,1.12,三丰智能
300284,2022-06-30,6.110095848034,2.13,苏交科
300294,2022-06-30,13.946044386312,4.01,博雅生物
300296,2022-06-30,3.131263788644,3.38,利亚德
300298,2022-06-30,4.851913574387,8.03,三诺生物
300303,2022-06-30,2.166711105572,3.83,聚飞光电
300315,2022-06-30,1.605311991257,2.02,掌趣科技
300319,2022-06-30,4.436001599652,2.37,麦捷科技
300323,2022-06-30,5.201174133131,0.18,华灿光电
300327,2022-06-30,4.164621082177,17.97,中颖电子
300337,2022-06-30,1.938040641267,5.82,银邦股份
300341,2022-06-30,2.651133750718,8.25,麦克奥迪
300348,2022-06-30,2.040430173909,0.45,长亮科技
300352,2022-06-30,1.167676130884,-2.65,北信源
300357,2022-06-30,3.460613157927,9.91,我武生物
300360,2022-06-30,5.459946636901,6.94,炬华科技
300363,2022-06-30,9.416623923131,26.73,博腾股份
300378,2022-06-30,6.274332414758,2.03,鼎捷数智
300398,2022-06-30,6.327014447275,7.46,飞凯材料
300401,2022-06-30,4.490428679983,12.41,花园生物
300406,2022-06-30,5.072712991008,5.53,九强生物
300409,2022-06-30,9.248563511506,5.95,道氏技术
300415,2022-06-30,4.700638758216,10.56,伊之密
300416,2022-06-30,4.820325660309,5.98,苏试试验
300428,2022-06-30,8.648433118751,5.31,立中集团
300438,2022-06-30,7.166350078965,8.24,鹏辉能源
300443,2022-06-30,12.881157395063,3.56,金雷股份
300446,2022-06-30,3.206601450795,0.27,航天智造
300451,2022-06-30,2.985317297184,2.2,创业慧康
300455,2022-06-30,2.287220261926,1.3,航天智装
300456,2022-06-30,6.825609516134,0.16,赛微电子
300457,2022-06-30,8.804739853673,4.67,赢合科技
300459,2022-06-30,1.073190513806,7.93,汤姆猫
300463,2022-06-30,9.806511246379,9.01,迈克生物
300468,2022-06-30,2.993845642209,2.18,四方精创
300470,2022-06-30,11.025359194006,6.44,中密控股
300475,2022-06-30,4.223899214333,9.9,香农芯创
300482,2022-06-30,9.708842078751,30.28,万孚生物
300492,2022-06-30,2.078119570162,-0.5,华图山鼎
